@relation R_data_frame

@attribute Ventilation numeric
@attribute Duration numeric
@attribute Exposure numeric
@attribute outlier string

@data
0.619039,0.922722,30,no
0.619039,0.922722,116,no
0.77319,0.922722,133,no
0.619039,0.506561,184,no
0.619039,0.506561,57,no
0.619039,0.506561,111,no
0.619039,0.922722,98,no
0.619039,0.922722,138,no
0.77319,0.922722,265,no
0.77319,0.922722,135,no
0.619039,0.506561,217,no
0.77319,0.922722,245,no
0.619039,0.922722,95,no
0.619039,0.506561,236,no
0.619039,0.506561,145,no
0.619039,0.506561,194,no
0.619039,0.506561,103,no
0.619039,0.506561,101,no
0.619039,0.506561,105,no
0.619039,0.506561,187,no
0.619039,0.506561,30,no
0.619039,0.506561,117,no
0.619039,0.506561,244,no
0.619039,0.506561,59,no
0.619039,0.506561,78,no
0.619039,0.922722,139,no
0.619039,0.922722,193,no
0.619039,0.922722,30,no
0.619039,0.922722,235,no
0.77319,0.922722,137,no
0.77319,0.922722,123,no
0.77319,0.922722,75,no
0.77319,0.922722,185,no
0.619039,0.922722,30,no
0.619039,0.922722,91,no
0.77319,0.922722,138,no
0.77319,0.922722,205,no
0.619039,0.506561,47,no
0.619039,0.506561,80,no
0.619039,0.506561,105,no
0.619039,0.506561,246,no
0.619039,0.506561,30,no
0.619039,0.506561,103,no
0.619039,0.506561,58,no
0.619039,0.922722,141,no
0.619039,0.922722,89,no
0.77319,0.922722,210,no
0.77319,0.922722,210,no
0.77319,0.922722,155,no
0.619039,0.922722,100,no
0.77319,0.506561,253,no
0.77319,0.506561,42,no
0.77319,0.922722,174,no
0.77319,0.922722,81,no
0.77319,0.922722,269,no
0.77319,0.922722,240,no
0.77319,0.922722,245,no
0.619039,0.922722,300,no
0.77319,0.922722,230,no
0.77319,0.922722,78,no
0.77319,0.922722,42,no
0.77319,0.506561,207,no
0.619039,0.922722,188,no
0.77319,0.506561,30,no
0.77319,0.922722,230,no
0.77319,0.922722,235,no
0.619039,0.922722,30,no
0.77319,0.922722,211,no
0.77319,0.922722,210,no
0.77319,0.922722,155,no
0.77319,0.922722,215,no
0.77319,0.922722,260,no
0.619039,0.506561,184,no
0.77319,0.506561,60,no
0.77319,0.922722,247,no
0.77319,0.922722,214,yes
0.619039,0.506561,226,yes
0.77319,0.506561,258,yes
