@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute outlier string

@data
1.131083,2167,115,1.939541,5,3,0,2.450366,1.12123,11,0.646337,2.973614,0,1,no
0.389617,2017,817,0.162707,6,4,196,2.450366,1.12123,14,0.742257,2.973614,60,159,no
1.131083,1583,585,0.162707,8,8,15,2.450366,1.12123,2,0.742257,2.973614,100,1,no
1.131083,5867,446,0.162707,11,8,304,2.450366,1.12123,6,0.742257,2.973614,43,561,no
0.389617,335,175,0.162707,14,8,45,2.450366,1.12123,4,0.646337,2.973614,253,858,no
0.389617,4142,5,0.162707,11,8,5,2.450366,1.12123,6,0.646337,2.973614,470,1,no
0.389617,3492,5,0.162707,14,8,75,2.450366,1.12123,6,0.646337,2.973614,0,1001,no
0.389617,4808,604,0.162707,4,4,4,0.090211,0.394345,0,0.742257,2.973614,0,2691,no
0.389617,2958,45,0.162707,9,4,75,2.450366,1.12123,2,0.646337,2.973614,330,1,no
1.131083,1892,9,0.162707,6,4,75,2.450366,1.12123,2,0.742257,2.973614,88,592,no
1.131083,2242,5665,0.162707,11,4,2585,2.450366,1.12123,7,0.742257,2.973614,129,3258,no
0.389617,3275,15,0.162707,13,8,55,2.450366,1.12123,3,0.646337,2.973614,0,1,no
0.389617,3317,304,1.939541,8,8,204,2.450366,1.12123,1,0.646337,2.973614,180,18028,no
1.131083,3067,12,0.162707,8,4,2,2.450366,1.12123,1,0.742257,2.973614,220,20,no
0.389617,2308,25,0.162707,8,4,1085,2.450366,1.12123,11,0.646337,2.973614,60,2185,no
0.389617,27,75,0.162707,8,8,425,2.450366,1.12123,3,0.646337,2.973614,312,151,no
0.389617,2308,115,0.162707,9,8,2125,2.450366,1.12123,11,0.646337,2.973614,290,285,no
0.389617,25,125,0.162707,6,4,3,2.450366,0.394345,0,0.646337,0.069449,20,1,no
0.389617,3958,13915,0.162707,9,4,8625,2.450366,1.12123,6,0.646337,2.973614,70,1,no
1.131083,4775,8,0.162707,8,4,7875,2.450366,1.12123,6,0.646337,2.973614,0,1261,no
1.131083,4742,3,0.162707,14,4,13875,2.450366,1.12123,2,0.646337,2.973614,519,1705,no
0.389617,2317,0,0.162707,13,4,85,2.450366,0.394345,0,0.742257,2.973614,0,1,no
0.389617,2675,1125,0.162707,14,8,125,2.450366,0.394345,0,0.742257,2.973614,0,5299,no
1.131083,2075,1025,0.162707,11,4,71,2.450366,1.12123,2,0.646337,2.973614,49,1,no
0.389617,1617,4,0.162707,8,4,4,0.090211,0.394345,0,0.742257,2.973614,0,1,no
1.131083,5283,15,0.162707,8,4,55,2.450366,1.12123,14,0.742257,2.973614,0,2201,no
0.389617,2783,15,0.162707,9,4,2,2.450366,1.12123,11,0.646337,2.973614,434,36,no
0.389617,40,65,0.162707,6,5,35,2.450366,1.12123,1,0.742257,2.973614,0,501,no
0.389617,425,4915,1.939541,9,4,3165,2.450366,0.394345,0,0.646337,2.973614,52,1443,no
0.389617,5675,1225,0.162707,7,4,125,2.450366,1.12123,4,0.646337,2.973614,200,1,no
0.389617,185,2,0.162707,3,4,15,2.450366,1.12123,2,0.742257,2.973614,120,301,no
1.131083,245,5,0.162707,11,8,15,2.450366,0.394345,0,0.742257,2.973614,280,825,no
0.389617,42,979,0.162707,14,8,796,2.450366,1.12123,8,0.742257,2.973614,0,1,no
0.389617,2725,1585,0.162707,13,8,1835,2.450366,1.12123,12,0.646337,2.973614,583,714,no
0.389617,2825,504,1.939541,8,5,15,2.450366,1.12123,8,0.646337,2.973614,144,8,no
0.389617,4025,215,0.162707,10,9,20,2.450366,1.12123,11,0.742257,2.973614,0,1201,no
1.131083,3217,146,0.162707,9,4,1085,2.450366,1.12123,16,0.742257,2.973614,120,2080,no
0.389617,2517,35,0.162707,13,4,625,2.450366,1.12123,7,0.742257,2.973614,0,7060,no
0.389617,3758,0,0.162707,8,4,0,0.090211,0.394345,0,0.742257,4.136765,184,1,no
1.131083,47,13,0.162707,3,5,5165,2.450366,1.12123,9,0.646337,2.973614,0,1,no
0.389617,3417,525,0.162707,9,4,85,0.090211,0.394345,0,0.646337,2.973614,290,7,no
0.389617,3625,5,0.162707,8,5,25,2.450366,1.12123,6,0.742257,2.973614,0,368,no
0.389617,2125,15,0.162707,9,4,15,0.090211,0.394345,0,0.742257,2.973614,150,9,no
1.131083,2042,835,0.162707,11,4,1585,2.450366,1.12123,1,0.742257,2.973614,0,1,no
0.389617,3867,21,0.162707,4,4,85,2.450366,0.394345,0,0.646337,2.973614,280,1,no
0.389617,2767,1375,0.162707,9,4,575,2.450366,0.394345,0,0.646337,2.973614,487,501,no
0.389617,2775,585,1.939541,13,4,25,2.450366,1.12123,2,0.742257,2.973614,260,501,no
1.131083,25,875,0.162707,14,8,104,2.450366,0.394345,0,0.646337,2.973614,160,5861,no
0.389617,2767,2,0.162707,14,8,1,2.450366,1.12123,4,0.742257,2.973614,140,7545,no
1.131083,4983,13585,0.162707,4,8,85,2.450366,0.394345,0,0.646337,2.973614,0,1,no
1.131083,3575,915,0.162707,6,4,75,2.450366,1.12123,4,0.742257,2.973614,0,1584,no
0.389617,3408,8,1.939541,7,5,4,2.450366,1.12123,1,0.646337,2.973614,280,2001,no
1.131083,2075,10335,0.162707,13,8,335,2.450366,1.12123,1,0.646337,2.973614,80,51,no
0.389617,3317,1,0.162707,14,4,75,2.450366,1.12123,7,0.646337,2.973614,340,4072,no
0.389617,2275,11,0.162707,11,4,25,2.450366,1.12123,7,0.646337,2.973614,100,810,no
0.389617,4875,85,0.162707,8,8,125,2.450366,1.12123,9,0.742257,2.973614,181,1656,no
0.389617,4058,5,0.162707,8,4,5,2.450366,1.12123,7,0.742257,2.973614,0,3066,no
1.131083,5708,195,0.162707,8,4,55,2.450366,1.12123,7,0.742257,2.973614,0,3001,no
1.131083,3125,375,0.162707,13,8,625,2.450366,1.12123,9,0.646337,2.973614,181,1,no
1.131083,5833,10,0.162707,11,4,4,2.450366,1.12123,14,0.742257,2.973614,0,1603,no
1.131083,46,4,0.162707,5,3,0,2.450366,0.394345,0,0.742257,2.973614,100,961,no
0.389617,21,3,1.939541,2,4,1085,2.450366,1.12123,8,0.646337,2.973614,160,2,no
1.131083,2475,125,0.162707,6,4,15,2.450366,1.12123,12,0.646337,2.973614,120,568,no
0.389617,3925,95,0.162707,7,4,65,2.450366,1.12123,14,0.742257,2.973614,240,4608,no
0.389617,2575,5,0.162707,8,4,146,2.450366,1.12123,5,0.646337,2.973614,312,1,no
1.131083,4608,3,0.162707,8,4,2375,2.450366,1.12123,8,0.646337,2.973614,396,4160,no
0.389617,6408,20,0.162707,14,8,175,2.450366,1.12123,9,0.646337,2.973614,0,1001,no
1.131083,6867,15,0.162707,10,9,0,2.450366,1.12123,14,0.742257,2.973614,0,3377,no
0.389617,7675,2229,0.162707,10,9,1275,2.450366,1.12123,1,0.646337,2.973614,0,110,no
1.131083,4742,8,0.162707,10,5,65,2.450366,1.12123,6,0.742257,2.973614,375,51101,no
0.389617,2317,0,0.162707,8,4,0,0.090211,0.394345,0,0.742257,4.136765,184,1,no
0.389617,525,65,0.162707,4,4,629,2.450366,1.12123,15,0.742257,2.973614,0,11203,no
0.389617,1917,0,1.939541,7,5,0,0.090211,0.394345,0,0.646337,0.069449,500,2,no
0.389617,18,165,0.162707,11,7,21,0.090211,0.394345,0,0.742257,2.973614,200,41,no
0.389617,2267,1585,1.939541,9,4,3085,2.450366,1.12123,6,0.742257,2.973614,80,1,no
0.389617,4308,375,1.939541,8,4,375,2.450366,1.12123,8,0.646337,2.973614,300,163,no
0.389617,345,404,1.939541,3,5,85,2.450366,1.12123,7,0.646337,2.973614,195,1,no
1.131083,225,846,1.939541,14,4,246,0.090211,0.394345,0,0.742257,2.973614,164,1,no
1.131083,1892,925,1.939541,8,4,1,2.450366,1.12123,4,0.646337,2.973614,80,501,no
1.131083,235,9,0.162707,11,4,85,2.450366,1.12123,5,0.646337,2.973614,120,1,no
0.389617,4117,404,0.162707,13,8,7,2.450366,1.12123,8,0.742257,2.973614,320,1,no
0.389617,4217,504,0.162707,11,8,1275,2.450366,0.394345,0,0.646337,2.973614,92,1,no
0.389617,2567,125,0.162707,13,4,121,2.450366,1.12123,67,0.646337,2.973614,140,259,no
0.389617,2433,6625,1.939541,2,4,55,2.450366,0.394345,0,0.646337,0.069449,100,1,no
0.389617,2333,11625,1.939541,9,4,835,2.450366,0.394345,0,0.646337,2.973614,160,301,no
0.389617,2925,1479,0.162707,6,4,504,2.450366,1.12123,5,0.646337,2.973614,168,1,no
0.389617,25,1125,0.162707,8,4,25,2.450366,1.12123,17,0.742257,2.973614,200,1209,no
1.131083,1875,75,0.162707,11,4,271,2.450366,1.12123,5,0.742257,2.973614,184,26727,no
1.131083,2033,10,0.162707,8,8,1,2.450366,1.12123,4,0.742257,2.973614,50,1466,no
0.389617,3317,104,0.162707,12,8,65,2.450366,0.394345,0,0.646337,2.973614,164,31286,no
1.131083,2475,3,0.162707,11,8,1835,2.450366,1.12123,19,0.742257,2.973614,0,501,no
0.389617,3083,0,0.162707,9,4,125,2.450366,1.12123,1,0.742257,2.973614,202,1,no
1.131083,295,46,0.162707,4,4,54,2.450366,1.12123,4,0.742257,2.973614,380,501,no
0.389617,5442,5,1.939541,4,8,396,2.450366,0.394345,0,0.742257,2.973614,180,315,no
1.131083,3308,4625,0.162707,11,8,1625,2.450366,1.12123,2,0.742257,2.973614,0,1,no
0.389617,2417,875,0.162707,11,4,4625,2.450366,1.12123,2,0.646337,2.973614,520,2001,no
1.131083,305,65,0.162707,8,5,4,2.450366,1.12123,7,0.646337,2.973614,0,3066,no
0.389617,2533,58,0.162707,8,4,29,2.450366,1.12123,7,0.646337,2.973614,96,5125,no
0.389617,2025,996,0.162707,10,2,0,2.450366,0.394345,0,0.742257,2.973614,0,1,no
0.389617,45,85,0.162707,13,8,14,2.450366,1.12123,1,0.646337,2.973614,88,2001,no
1.131083,2283,229,0.162707,11,8,229,2.450366,1.12123,7,0.646337,2.973614,140,2385,no
1.131083,2067,3,0.162707,11,4,165,2.450366,1.12123,3,0.742257,2.973614,100,7,no
0.389617,5642,28,1.939541,8,4,285,2.450366,1.12123,40,0.742257,2.973614,0,16,no
1.131083,6408,165,0.162707,1,1,0,2.450366,1.12123,1,0.742257,2.973614,232,101,no
1.131083,2242,1125,1.939541,14,8,75,2.450366,1.12123,4,0.742257,2.973614,0,322,no
0.389617,4833,12,0.162707,7,4,16,2.450366,0.394345,0,0.742257,0.069449,110,1,no
1.131083,2808,15,1.939541,10,9,0,2.450366,0.394345,0,0.742257,2.973614,0,13213,no
0.389617,3517,25,0.162707,4,4,45,2.450366,1.12123,7,0.742257,2.973614,150,1271,no
0.389617,495,7585,0.162707,3,5,7585,2.450366,1.12123,15,0.646337,2.973614,0,5001,no
0.389617,6008,145,0.162707,1,1,18,2.450366,1.12123,15,0.646337,2.973614,0,1001,no
