@relation R_data_frame

@attribute att6 numeric
@attribute att9 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att22 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att28 numeric
@attribute att33 numeric
@attribute att35 numeric
@attribute att37 numeric
@attribute att40 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att45 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att59 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att65 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att76 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att84 numeric
@attribute att86 numeric
@attribute att88 numeric
@attribute att91 numeric
@attribute att94 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att102 numeric
@attribute att105 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att129 numeric
@attribute att133 numeric
@attribute att136 numeric
@attribute att138 numeric
@attribute att143 numeric
@attribute att146 numeric
@attribute att148 numeric
@attribute att154 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att162 numeric
@attribute att166 numeric
@attribute att169 numeric
@attribute att174 numeric
@attribute att176 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att183 numeric
@attribute att186 numeric
@attribute att188 numeric
@attribute att190 numeric
@attribute att192 numeric
@attribute att199 numeric
@attribute att202 numeric
@attribute att203 numeric
@attribute att204 numeric
@attribute att205 numeric
@attribute att207 numeric
@attribute att209 numeric
@attribute att210 numeric
@attribute att213 numeric
@attribute att218 numeric
@attribute att223 numeric
@attribute att224 numeric
@attribute att225 numeric
@attribute att228 numeric
@attribute att230 numeric
@attribute att234 numeric
@attribute att240 numeric
@attribute att242 numeric
@attribute att243 numeric
@attribute att244 numeric
@attribute att247 numeric
@attribute att248 numeric
@attribute att249 numeric
@attribute outlier string

@data
7767,29148,34,5073,0.441,6575,54,0.63,0.48,53,8.55,43,227,3457,7129,0.51,77,477,2.6,89,3018,72.3,5.6,1.9,8376,4.5,34505,0.609,343,0.56,0.88,2.85,76252,4575,83317,0.481,8.28,2.85,8.9,3498,0.26,0.256,37.1,0.57,6.17,2.2,0.491,0.156,0.285,4626,5.67,4801,2.6,0.46,53.6,8509,0.63,0.7,5154,64,61.8,5.6,0.58,0.6,0.36,0.4,8.9,5.91,55,877,6.53,319,86,0.573,25.3,54.5,0.84,82.3,90840,181,71193,87.2,0.6,5.9,51.6,1.3,69187,6.89,64963,0.176,693,415,0.063,5386,60,37243,3.09,7120,7773,0.8,58345,95371,1.2,92221,7.15,no
8153,18975,68,1426,0.771,4066,15,0.88,0.33,60,8.69,46,836,4577,7512,0.23,58,374,1.5,93,3018,67,5,5.3,8439,4.5,74014,0.521,664,0.2,0.61,3.59,81497,4522,88827,0.492,6.89,2.58,8.5,3790,0.47,0.214,33.1,0.82,7.61,2,0.586,0.479,0.388,5116,5.42,4874,6.5,0.435,50.9,2441,0.57,9.3,4101,76,62.3,5.8,0.56,0.184,0.75,0.62,8.4,1.75,48,859,6.12,217,86,0.686,61.7,50,0.36,71.1,58974,166,88982,84.3,0.63,5.4,39.4,1.8,55387,6.85,47766,0.195,820,405,0.071,5592,17,37461,7.21,7106,7279,0.32,62855,96224,3.8,98482,7.04,no
8160,18495,44,5683,0.691,7028,35,0.43,0.36,33,8.57,53,197,6546,7028,0.28,96,430,1.2,39,3044,68.9,5.4,5.9,8819,5,43684,0.595,173,0.42,0.54,2.85,83381,5200,66543,0.486,8.4,2.27,4.6,3627,0.53,0.265,40.9,0.78,6.73,3.5,0.586,0.088,0.271,4280,4.42,4863,4.6,0.576,48.1,2475,0.629,7.2,5887,43,62.5,8.9,0.63,0.177,0.58,0.19,9,1.38,23,858,6.91,222,83,0.592,23.1,54.1,0.48,71.9,77223,170,88756,83.5,0.59,5.8,35.5,3.8,68796,6.57,65497,0.174,802,399,0.072,4814,42,40591,2.58,7072,7673,0.82,55588,93825,0.6,97616,2.43,no
7713,27884,62,3272,0.679,4067,22,0.75,0.37,76,8.52,60,802,7014,7677,0.28,57,392,3.8,93,3113,69,4.8,1.9,8339,3.7,65897,0.594,715,0.46,0.51,3.47,87039,5931,78615,0.522,5.56,2.82,5.2,3568,0.52,0.271,26.5,0.9,6.12,1.6,0.588,0.318,0.392,4420,4.79,4819,4.4,0.461,49.2,3804,0.62,0.8,3703,78,63.6,5.7,0.28,0.21,0.31,0.55,8.4,5.5,30,891,6.33,329,79,0.583,65.5,54.4,0.85,70.2,77060,266,72731,87.9,0.7,6.3,50,2.5,64185,5.75,82801,0.164,781,408,0.11,4604,21,38310,4.39,7084,7098,0.28,40272,94369,2.7,91468,8.44,no
8066,28783,26,5386,0.869,3980,29,0.9,0.34,54,8.55,63,527,4569,7708,0.31,91,417,0.9,76,3041,71.3,5.6,2.4,8564,4.2,40046,0.562,671,0.21,0.79,3.15,80085,5917,93330,0.525,8.17,2.37,7.2,4048,0.38,0.258,39.1,0.81,8.02,1.7,0.397,0.373,0.373,8034,4.42,4863,6.4,0.581,47.6,2006,0.635,3.5,4006,79,62.6,6.1,0.42,0.61,0.76,0.62,8.3,4.86,35,879,6.15,267,70,0.659,84.4,67.6,0.35,68.2,31699,143,90131,88,0.61,5.9,27.7,3.5,68657,6.89,54048,0.186,755,394,0.057,6307,56,35836,2.64,7043,7093,0.38,47865,93513,0.9,90484,4.62,no
8003,21019,72,1259,0.657,4184,56,0.73,0.36,33,8.54,19,197,4520,7692,0.51,62,384,3.1,93,3045,73.8,6.5,2,8447,4.3,61036,0.602,746,0.09,0.78,3.61,72857,5203,84553,0.475,8.6,2.35,8.7,3542,0.37,0.229,49.4,0.84,6.24,3.6,0.399,0.07,0.341,4386,5.68,4900,3.2,0.415,43.5,5832,0.667,5,4011,47,62.7,0.1,0.61,0.572,0.46,0.14,4,5.9,27,882,7.17,342,71,0.573,22.8,54.6,0.48,74.4,49975,130,87727,88,0.81,4.1,51.9,1.1,62368,6.87,38373,0.175,773,535,0.124,6739,57,43043,5.34,7124,6618,0.35,57469,93639,1,98600,8.41,no
7588,27877,29,1317,0.621,6984,57,0.88,0.35,46,8.55,18,312,3467,7724,0.46,94,376,1.7,88,3947,71.6,5.3,5.9,8524,4.3,46779,0.572,464,0.24,0.51,2.96,79108,5914,94942,0.482,5.42,2.35,4.6,3345,0.37,0.267,59,0.92,7.82,3.7,0.589,0.202,0.292,4080,5.47,4278,1.3,0.575,47.8,1591,0.654,8.2,3730,73,61.8,9,0.71,0.274,0.56,0.15,9,5.95,57,865,6.36,277,73,0.627,50.8,50.9,0.4,71.7,33471,265,25072,83.4,0.85,5.8,51.7,2.7,64337,5.6,64421,0.333,781,326,0.114,6315,58,34818,3.41,7109,6781,0.81,40271,95294,4.5,97662,9,no
7925,25854,37,5372,0.64,7212,18,0.88,0.38,30,8.45,28,977,4994,7619,0.39,71,409,1.8,37,3069,69.7,5.5,1.9,8426,3.7,63407,0.575,680,0.18,0.54,2.87,86667,4976,95171,0.457,8.52,2.82,8.2,3815,0.47,0.229,21.8,0.79,6.15,2,0.56,0.316,0.442,8565,5.44,4799,6.5,0.575,52.6,8782,0.597,4.6,4118,82,62.3,2.6,0.74,0.142,0.39,0.16,3.6,6.57,58,858,6.15,268,87,0.577,33.8,54.5,0.33,76.8,35967,208,22746,87.2,0.8,5.5,50.7,4.7,60331,6.27,71788,0.168,817,448,0.089,6084,40,34440,2.78,7140,7281,0.79,58301,96218,1.1,94546,5.62,no
8193,25193,62,3856,0.904,6826,60,0.65,0.55,67,8.57,63,222,4064,7027,0.45,87,480,2.8,44,2734,74,5.2,2.5,8500,2.2,28962,0.521,569,0.56,0.51,3.16,80256,5886,61772,0.476,8.77,2.21,8.6,3891,0.23,0.275,61.7,0.8,7.42,3,0.472,0.406,0.32,3799,5.68,4283,2,0.442,53.7,5276,0.633,8.1,4370,61,62,9.1,0.16,0.611,0.22,0.45,8.1,2.33,43,856,7.01,330,86,0.591,62.2,61.9,0.65,77.5,84759,211,26339,87.2,0.82,6,27.3,2.1,66313,5.12,56022,0.208,867,405,0.124,6740,58,41762,6.22,7079,8052,0.81,54525,95258,2.7,98638,3.02,no
7672,21051,71,2100,0.638,4191,30,0.88,0.27,28,8.49,23,252,4528,7370,0.25,93,412,1.8,92,4503,66.7,5.2,1.9,8427,3.4,79573,0.624,483,0.52,0.54,3.63,80722,5888,82194,0.445,7.88,2.82,4.6,3383,0.47,0.21,27.7,0.81,8.03,1.5,0.548,0.195,0.285,9025,5.63,3938,5.6,0.478,44.7,8413,0.568,9.3,5871,74,66.9,0.6,0.28,0.3,0.79,0.4,8.6,0.73,53,880,6.03,361,39,0.828,86.8,53.6,0.57,71.1,58955,272,89262,85.9,0.53,5.4,31.3,0.8,68761,5.87,61671,0.126,694,403,0.098,4670,79,37505,6.05,7070,7661,0.35,58294,94813,3.8,90908,5.85,no
